"","name","partito","s_office","e_office"
"284","DORI DEVIS","LIBERI E UGUALI (09.07.2021-10.02.2022)","20210709","20220210"
"285","DORI DEVIS","MISTO (10.02.2022)","20220210",NA
"286","DURIGON CLAUDIO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"287","EHM YANA CHIARA","MOVIMENTO 5 STELLE (27.03.2018-02.03.2021)","20180327","20210302"
"288","EHM YANA CHIARA","MISTO (02.03.2021)","20210302",NA
"289","EMILIOZZI MIRELLA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"290","EPIFANI ETTORE GUGLIELMO","LIBERI E UGUALI (10.04.2018-07.06.2021)","20180410","20210607"
"291","EPIFANI ETTORE GUGLIELMO","MISTO (27.03.2018-10.04.2018)","20180327","20180410"
"292","ERMELLINO ALESSANDRA","MOVIMENTO 5 STELLE (27.03.2018-22.06.2020)","20180327","20200622"
"293","ERMELLINO ALESSANDRA","MISTO (22.06.2020)","20200622",NA
"294","ERMINI DAVID","PARTITO DEMOCRATICO (27.03.2018-25.09.2018)","20180327","20180925"
"295","FANTINATI MATTIA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"296","FANTUZ MARICA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"297","FARO MARIALUISA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"298","FASANO VINCENZO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-23.01.2022)","20180327","20220123"
"299","FASCINA MARTA ANTONIA","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"300","FASSINA STEFANO","MISTO (27.03.2018-10.04.2018)","20180327","20180410"
"301","FASSINA STEFANO","LIBERI E UGUALI (10.04.2018)","20180410",NA
"302","FASSINO PIERO FRANCO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"303","FATUZZO CARLO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"304","FEDERICO ANTONIO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"305","FEDRIGA MASSIMILIANO","LEGA - SALVINI PREMIER (27.03.2018-08.05.2018)","20180327","20180508"
"306","FERRAIOLI MARZIA","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"307","FERRARESI VITTORIO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"308","FERRARI ROBERTO PAOLO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"309","FERRI COSIMO MARIA","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"310","FERRI COSIMO MARIA","ITALIA VIVA (19.09.2019)","20190919",NA
"311","FERRO WANDA","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"312","FIANO EMANUELE","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"313","FICARA PAOLO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"314","FICO ROBERTO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"315","FIDANZA CARLO","FRATELLI D'ITALIA (27.03.2018-27.06.2019)","20180327","20190627"
"316","FIORAMONTI LORENZO","MOVIMENTO 5 STELLE (27.03.2018-07.01.2020)","20180327","20200107"
"317","FIORAMONTI LORENZO","MISTO (07.01.2020)","20200107",NA
"318","FIORINI BENEDETTA","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-05.08.2020)","20180327","20200805"
"319","FIORINI BENEDETTA","LEGA - SALVINI PREMIER (05.08.2020)","20200805",NA
"320","FLATI FRANCESCA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"321","FOGLIANI KETTY","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"322","FONTANA GREGORIO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"323","FONTANA ILARIA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"324","FONTANA LORENZO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"325","FORCINITI FRANCESCO","MOVIMENTO 5 STELLE (27.03.2018-19.02.2021)","20180327","20210219"
"326","FORCINITI FRANCESCO","MISTO (19.02.2021)","20210219",NA
"327","FORMENTINI PAOLO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"328","FORNARO FEDERICO","MISTO (27.03.2018-10.04.2018)","20180327","20180410"
"329","FORNARO FEDERICO","LIBERI E UGUALI (10.04.2018)","20180410",NA
"330","FOSCOLO SARA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"331","FOTI TOMMASO","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"332","FRACCARO RICCARDO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"333","FRAGOMELI GIAN MARIO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"334","FRAILIS ANDREA","PARTITO DEMOCRATICO (24.01.2019)","20190124",NA
"335","FRANCESCHINI DARIO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"336","FRASSINETTI PAOLA","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"337","FRASSINI REBECCA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"338","FRATE FLORA","MOVIMENTO 5 STELLE (27.03.2018-04.02.2020)","20180327","20200204"
"339","FRATE FLORA","MISTO (04.02.2020-23.12.2021)","20200204","20211223"
"340","FRATE FLORA","ITALIA VIVA (23.12.2021)","20211223",NA
"341","FRATOIANNI NICOLA","MISTO (27.03.2018-10.04.2018)","20180327","20180410"
"342","FRATOIANNI NICOLA","LIBERI E UGUALI (10.04.2018)","20180410",NA
"343","FREGOLENT SILVIA","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"344","FREGOLENT SILVIA","ITALIA VIVA (19.09.2019)","20190919",NA
"345","FRUSONE LUCA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"346","FUGATTI MAURIZIO","LEGA - SALVINI PREMIER (27.03.2018-09.01.2019)","20180327","20190109"
"347","FURGIUELE DOMENICO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"348","FUSACCHIA ALESSANDRO","MISTO (27.03.2018)","20180327",NA
"349","GADDA MARIA CHIARA","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"350","GADDA MARIA CHIARA","ITALIA VIVA (19.09.2019)","20190919",NA
"351","GAGLIARDI MANUELA","MISTO (09.09.2019-27.05.2021)","20190909","20210527"
"352","GAGLIARDI MANUELA","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-09.09.2019)","20180327","20190909"
"353","GAGLIARDI MANUELA","CORAGGIO ITALIA (27.05.2021)","20210527",NA
"354","GAGNARLI CHIARA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"355","GALANTINO DAVIDE","MOVIMENTO 5 STELLE (27.03.2018-10.07.2019)","20180327","20190710"
"356","GALANTINO DAVIDE","MISTO (10.07.2019-08.10.2019)","20190710","20191008"
"357","GALANTINO DAVIDE","FRATELLI D'ITALIA (08.10.2019)","20191008",NA
"358","GALIZIA FRANCESCA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"359","GALLI DARIO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"360","GALLINELLA FILIPPO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"361","GALLO LUIGI","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"362","GARAVAGLIA MASSIMO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"363","GARIGLIO DAVIDE","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"364","GASTALDI FLAVIO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"365","GAVA VANNIA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"366","GEBHARD RENATE","MISTO (27.03.2018)","20180327",NA
"367","GELMINI MARIASTELLA","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"368","GEMMATO MARCELLO","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"369","GENTILE ANDREA","FORZA ITALIA - BERLUSCONI PRESIDENTE (04.11.2021)","20211104",NA
"370","GENTILONI SILVERI PAOLO","PARTITO DEMOCRATICO (27.03.2018-02.12.2019)","20180327","20191202"
"371","GERARDI FRANCESCA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"372","GERMANA' ANTONINO SALVATORE","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-22.05.2020)","20180327","20200522"
"373","GERMANA' ANTONINO SALVATORE","MISTO (22.05.2020-08.04.2021)","20200522","20210408"
"374","GERMANA' ANTONINO SALVATORE","LEGA - SALVINI PREMIER (08.04.2021)","20210408",NA
"375","GIACCONE ANDREA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"376","GIACHETTI ROBERTO","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"377","GIACHETTI ROBERTO","ITALIA VIVA (19.09.2019)","20190919",NA
"378","GIACOMELLI ANTONELLO","PARTITO DEMOCRATICO (27.03.2018-30.09.2020)","20180327","20200930"
"379","GIACOMETTI ANTONIETTA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"380","GIACOMETTO CARLUCCIO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"381","GIACOMONI SESTINO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"382","GIANNETTA DOMENICO","FORZA ITALIA - BERLUSCONI PRESIDENTE (02.04.2020-07.05.2020)","20200402","20200507"
"383","GIANNONE VERONICA","MISTO (01.07.2019-20.01.2021)","20190701","20210120"
"384","GIANNONE VERONICA","MOVIMENTO 5 STELLE (27.03.2018-01.07.2019)","20180327","20190701"
"385","GIANNONE VERONICA","FORZA ITALIA - BERLUSCONI PRESIDENTE (20.01.2021)","20210120",NA
"386","GIARRIZZO ANDREA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"387","GIGLIO VIGNA ALESSANDRO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"388","GIORDANO CONCETTA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"389","GIORGETTI GIANCARLO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"390","GIORGIS ANDREA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"391","GIULIANO CARLA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"392","GIULIODORI PAOLO","MOVIMENTO 5 STELLE (27.03.2018-19.02.2021)","20180327","20210219"
"393","GIULIODORI PAOLO","MISTO (19.02.2021)","20210219",NA
"394","GOBBATO CLAUDIA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"395","GOLINELLI GUGLIELMO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"396","GRANDE MARTA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"397","GRIBAUDO CHIARA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"398","GRILLO GIULIA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"399","GRIMALDI NICOLA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"400","GRIMOLDI PAOLO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"401","GRIPPA CARMELA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"402","GUALTIERI ROBERTO","PARTITO DEMOCRATICO (04.03.2020-04.11.2021)","20200304","20211104"
"403","GUBITOSA MICHELE","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"404","GUERINI LORENZO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"405","GUIDESI GUIDO","LEGA - SALVINI PREMIER (27.03.2018-17.02.2021)","20180327","20210217"
"406","GUSMEROLI ALBERTO LUIGI","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"407","IANARO ANGELA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"408","IEZZI IGOR GIANCARLO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"409","INCERTI ANTONELLA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"410","INVERNIZZI CRISTIAN","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"411","INVIDIA NICCOLO'","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"412","IORIO MARIANNA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"413","IOVINO LUIGI","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"414","L'ABBATE GIUSEPPE","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"415","LA MARCA FRANCESCA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"416","LABRIOLA VINCENZA","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"417","LACARRA MARCO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"418","LAPIA MARA","MOVIMENTO 5 STELLE (27.03.2018-10.12.2020)","20180327","20201210"
"419","LAPIA MARA","MISTO (10.12.2020)","20201210",NA
"420","LATINI GIORGIA","LEGA - SALVINI PREMIER (27.03.2018-10.11.2020)","20180327","20201110"
"421","LATTANZIO PAOLO","MISTO (07.08.2020-10.12.2020)","20200807","20201210"
"422","LATTANZIO PAOLO","MOVIMENTO 5 STELLE (27.03.2018-07.08.2020)","20180327","20200807"
"423","LATTANZIO PAOLO","PARTITO DEMOCRATICO (10.12.2020)","20201210",NA
"424","LAZZARINI ARIANNA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"425","LEGNAIOLI DONATELLA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"426","LEPRI STEFANO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"427","LETTA ENRICO","PARTITO DEMOCRATICO (06.10.2021)","20211006",NA
"428","LIBRANDI GIANFRANCO","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"429","LIBRANDI GIANFRANCO","ITALIA VIVA (19.09.2019)","20190919",NA
"430","LICATINI CATERINA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"431","LIUNI MARZIO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"432","LIUZZI MIRELLA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"433","LO MONTE CARMELO","LEGA - SALVINI PREMIER (27.03.2018-09.09.2019)","20180327","20190909"
"434","LO MONTE CARMELO","MISTO (09.09.2019)","20190909",NA
"435","LOCATELLI ALESSANDRA","LEGA - SALVINI PREMIER (27.03.2018-17.02.2021)","20180327","20210217"
"436","LOLINI MARIO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"437","LOLLOBRIGIDA FRANCESCO","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"438","LOMBARDO ANTONIO","MOVIMENTO 5 STELLE (27.03.2018-10.12.2020)","20180327","20201210"
"439","LOMBARDO ANTONIO","MISTO (10.12.2020)","20201210",NA
"440","LONGO FAUSTO GUILHERME","MISTO (27.03.2018)","20180327",NA
"441","LOREFICE MARIALUCIA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"442","LORENZIN BEATRICE","MISTO (27.03.2018-23.09.2019)","20180327","20190923"
"443","LORENZIN BEATRICE","PARTITO DEMOCRATICO (23.09.2019)","20190923",NA
"444","LORENZONI EVA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"445","LORENZONI GABRIELE","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"446","LOSACCO ALBERTO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"447","LOSS MARTINA","LEGA - SALVINI PREMIER (31.05.2019)","20190531",NA
"448","LOTTI LUCA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"449","LOVECCHIO GIORGIO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"450","LUCASELLI YLENJA","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"451","LUCCHINI ELENA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"452","LUCENTINI MAURO","LEGA - SALVINI PREMIER (11.11.2020)","20201111",NA
"453","LUPI MAURIZIO ENZO","MISTO (27.03.2018)","20180327",NA
"454","MACCANTI ELENA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"455","MACINA ANNA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"456","MADIA MARIA ANNA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"457","MAGGIONI MARCO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"458","MAGI RICCARDO","MISTO (27.03.2018)","20180327",NA
"459","MAGLIONE PASQUALE","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"460","MAMMI' STEFANIA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"461","MANCA ALBERTO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"462","MANCA GAVINO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"463","MANCINI CLAUDIO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"464","MANDELLI ANDREA","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"465","MANIERO ALVISE","MOVIMENTO 5 STELLE (27.03.2018-19.02.2021)","20180327","20210219"
"466","MANIERO ALVISE","MISTO (19.02.2021)","20210219",NA
"467","MANTOVANI LUCREZIA MARIA BENEDETTA","FRATELLI D'ITALIA (15.03.2019)","20190315",NA
"468","MANZATO FRANCO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"469","MANZO TERESA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"470","MARAIA GENEROSO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"471","MARATTIN LUIGI","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"472","MARATTIN LUIGI","ITALIA VIVA (19.09.2019)","20190919",NA
"473","MARCHETTI RICCARDO AUGUSTO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"474","MARIANI FELICE","MOVIMENTO 5 STELLE (27.03.2018-21.04.2021)","20180327","20210421"
"475","MARIANI FELICE","LEGA - SALVINI PREMIER (21.04.2021)","20210421",NA
"476","MARIN MARCO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-27.05.2021)","20180327","20210527"
"477","MARIN MARCO","CORAGGIO ITALIA (27.05.2021)","20210527",NA
"478","MARINO BERNARDO","MOVIMENTO 5 STELLE (27.03.2018-20.01.2022)","20180327","20220120"
"479","MARINO BERNARDO","MISTO (20.01.2022)","20220120",NA
"480","MARROCCO PATRIZIA","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"481","MARTINA MAURIZIO","PARTITO DEMOCRATICO (27.03.2018-20.01.2021)","20180327","20210120"
"482","MARTINCIGLIO VITA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"483","MARTINO ANTONIO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"484","MARZANA MARIA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"485","MASCHIO CIRO","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"486","MASI ANGELA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"487","MATURI FILIPPO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"488","MAURI MATTEO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"489","MAZZETTI ERICA","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"490","MELICCHIO ALESSANDRO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"491","MELILLI FABIO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"492","MELONI GIORGIA","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"493","MENGA ROSA","MOVIMENTO 5 STELLE (27.03.2018-19.02.2021)","20180327","20210219"
"494","MENGA ROSA","MISTO (19.02.2021)","20210219",NA
"495","MICELI CARMELO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"496","MICHELI MATTEO","LEGA - SALVINI PREMIER (17.02.2021)","20210217",NA
"497","MICILLO SALVATORE","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"498","MIGLIORE GENNARO","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"499","MIGLIORE GENNARO","ITALIA VIVA (19.09.2019)","20190919",NA
"500","MIGLIORINO LUCA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"501","MILANATO LORENA","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"502","MINARDO ANTONINO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-03.12.2019)","20180327","20191203"
"503","MINARDO ANTONINO","LEGA - SALVINI PREMIER (03.12.2019)","20191203",NA
"504","MINNITI DOMENICO","PARTITO DEMOCRATICO (27.03.2018-11.03.2021)","20180327","20210311"
"505","MISITI CARMELO MASSIMO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"506","MOLINARI RICCARDO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"507","MOLLICONE FEDERICO","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"508","MOLTENI NICOLA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"509","MONTARULI AUGUSTA","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"510","MOR MATTIA","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"511","MOR MATTIA","ITALIA VIVA (19.09.2019)","20190919",NA
"512","MORANI ALESSIA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"513","MORASSUT ROBERTO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"514","MORELLI ALESSANDRO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"515","MORETTO SARA","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"516","MORETTO SARA","ITALIA VIVA (19.09.2019)","20190919",NA
"517","MORGONI MARIO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"518","MORRONE JACOPO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"519","MOSCHIONI DANIELE","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"520","MUGNAI STEFANO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-27.05.2021)","20180327","20210527"
"521","MUGNAI STEFANO","CORAGGIO ITALIA (27.05.2021)","20210527",NA
"522","MULE' GIORGIO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"523","MURA ANDREA","MOVIMENTO 5 STELLE (27.03.2018-25.07.2018)","20180327","20180725"
"524","MURA ANDREA","MISTO (26.07.2018-27.09.2018)","20180726","20180927"
"525","MURA ROMINA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"526","MURELLI ELENA","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"527","MURONI ROSSELLA","MISTO (27.03.2018-10.04.2018)","20180327","20180410"
"528","MURONI ROSSELLA","LIBERI E UGUALI (10.04.2018-03.03.2021)","20180410","20210303"
"529","MURONI ROSSELLA","MISTO (03.03.2021)","20210303",NA
"530","MUSELLA GRAZIANO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"531","NANNI IOLANDA","MOVIMENTO 5 STELLE (27.03.2018-27.08.2018)","20180327","20180827"
"532","NAPOLI OSVALDO","MISTO (15.02.2021-27.05.2021)","20210215","20210527"
"533","NAPOLI OSVALDO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-15.02.2021)","20180327","20210215"
"534","NAPOLI OSVALDO","CORAGGIO ITALIA (27.05.2021)","20210527",NA
"535","NAPPI SILVANA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"536","NARDI MARTINA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"537","NAVARRA PIETRO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"538","NESCI DALILA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"539","NEVI RAFFAELE","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"540","NISSOLI ANGELA","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"541","NITTI MICHELE","MOVIMENTO 5 STELLE (27.03.2018-21.01.2020)","20180327","20200121"
"542","NITTI MICHELE","MISTO (21.01.2020-10.12.2020)","20200121","20201210"
"543","NITTI MICHELE","PARTITO DEMOCRATICO (10.12.2020)","20201210",NA
"544","NOBILI LUCIANO","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"545","NOBILI LUCIANO","ITALIA VIVA (19.09.2019)","20190919",NA
"546","NOJA LISA","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"547","NOJA LISA","ITALIA VIVA (19.09.2019)","20190919",NA
"548","NOVELLI ROBERTO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"549","OCCHIONERO GIUSEPPINA","LIBERI E UGUALI (10.04.2018-25.10.2019)","20180410","20191025"
"550","OCCHIONERO GIUSEPPINA","MISTO (27.03.2018-10.04.2018)","20180327","20180410"
"551","OCCHIONERO GIUSEPPINA","ITALIA VIVA (25.10.2019)","20191025",NA
"552","OCCHIUTO ROBERTO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-04.11.2021)","20180327","20211104"
"553","OLGIATI RICCARDO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"554","ORFINI MATTEO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"555","ORLANDO ANDREA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"556","ORRICO ANNA LAURA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"557","ORSINI ANDREA GIORGIO FELICE MARIA","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"558","OSNATO MARCO","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"559","PADOAN PIETRO CARLO","PARTITO DEMOCRATICO (27.03.2018-04.11.2020)","20180327","20201104"
"560","PAGANI ALBERTO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"561","PAGANO ALESSANDRO SARO ALFONSO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"562","PAGANO UBALDO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"563","PAITA RAFFAELLA","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"564","PAITA RAFFAELLA","ITALIA VIVA (19.09.2019)","20190919",NA
"565","PALAZZOTTO ERASMO","MISTO (27.03.2018-10.04.2018)","20180327","20180410"
"566","PALAZZOTTO ERASMO","LIBERI E UGUALI (10.04.2018)","20180410",NA
"567","PALLINI MARIA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"568","PALMIERI ANTONIO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018)","20180327",NA
"569","PALMISANO VALENTINA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"570","PANIZZUT MASSIMILIANO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"571","PAOLIN GIUSEPPE","LEGA - SALVINI PREMIER (05.08.2020)","20200805",NA
"572","PAOLINI LUCA RODOLFO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
